"date","USD_JPY","USD_BGN","USD_CZK","USD_DKK","USD_GBP","USD_HUF","USD_PLN","USD_RON","USD_SEK","USD_CHF","USD_ISK","USD_NOK","USD_HRK","USD_RUB","USD_TRY","USD_AUD","USD_BRL","USD_CAD","USD_CNY","USD_HKD","USD_IDR","USD_ILS","USD_INR","USD_KRW","USD_MXN","USD_MYR","USD_NZD","USD_PHP","USD_SGD","USD_THB","USD_ZAR","USD_EUR","EUR_USD","EUR_JPY","EUR_BGN","EUR_CZK","EUR_DKK","EUR_GBP","EUR_HUF","EUR_PLN","EUR_RON","EUR_SEK","EUR_CHF","EUR_ISK","EUR_NOK","EUR_HRK","EUR_RUB","EUR_TRY","EUR_AUD","EUR_BRL","EUR_CAD","EUR_CNY","EUR_HKD","EUR_IDR","EUR_ILS","EUR_INR","EUR_KRW","EUR_MXN","EUR_MYR","EUR_NZD","EUR_PHP","EUR_SGD","EUR_THB","EUR_ZAR"
"2022-01-01",115.115663,1.726823,21.947731,6.565778,0.741904,325.966802,4.058714,4.369592,9.050238,0.912149,130.319619,8.819354,6.635705,75.313791,13.450026,1.378686,5.57134,1.270793,6.352375,7.799135,14215.451174,3.104273,74.368003,1188.751545,20.434222,4.16599,1.4638,51.000353,1.34902,33.244747,15.947819,0.882924,1.1326,130.38,1.9558,24.858,7.4364,0.84028,369.19,4.5969,4.949,10.2503,1.0331,147.6,9.9888,7.5156,85.3004,15.2335,1.5615,6.3101,1.4393,7.1947,8.8333,16100.42,3.5159,84.2292,1346.38,23.1438,4.7184,1.6579,57.763,1.5279,37.653,18.0625
"2022-01-02",115.115663,1.726823,21.947731,6.565778,0.741904,325.966802,4.058714,4.369592,9.050238,0.912149,130.319619,8.819354,6.635705,75.313791,13.450026,1.378686,5.57134,1.270793,6.352375,7.799135,14215.451174,3.104273,74.368003,1188.751545,20.434222,4.16599,1.4638,51.000353,1.34902,33.244747,15.947819,0.882924,1.1326,130.38,1.9558,24.858,7.4364,0.84028,369.19,4.5969,4.949,10.2503,1.0331,147.6,9.9888,7.5156,85.3004,15.2335,1.5615,6.3101,1.4393,7.1947,8.8333,16100.42,3.5159,84.2292,1346.38,23.1438,4.7184,1.6579,57.763,1.5279,37.653,18.0625
"2022-01-03",114.980185,1.722413,21.856451,6.550594,0.740951,323.830911,4.041832,4.357816,9.067195,0.91343,129.98679,8.807838,6.621753,74.444122,13.278468,1.381858,5.595685,1.269925,6.356143,7.797534,14268.621753,3.094584,74.323998,1192.778512,20.454337,4.172523,1.466402,51.123734,1.35033,33.17041,15.822193,0.880669,1.1355,130.56,1.9558,24.818,7.4382,0.84135,367.71,4.5895,4.9483,10.2958,1.0372,147.6,10.0013,7.519,84.5313,15.0777,1.5691,6.3539,1.442,7.2174,8.8541,16202.02,3.5139,84.3949,1354.4,23.2259,4.7379,1.6651,58.051,1.5333,37.665,17.9661
"2022-01-04",116.295771,1.734019,21.939002,6.594379,0.74136,323.716642,4.048852,4.387002,9.114992,0.918078,131.039986,8.878269,6.665928,75.29054,13.421757,1.390371,5.689689,1.275113,6.376806,7.794929,14362.736058,3.095044,74.656884,1199.494636,20.552177,4.186009,1.477791,51.412359,1.35739,33.32033,16.054615,0.886603,1.1279,131.17,1.9558,24.745,7.4378,0.83618,365.12,4.5667,4.9481,10.2808,1.0355,147.8,10.0138,7.5185,84.9202,15.1384,1.5682,6.4174,1.4382,7.1924,8.7919,16199.73,3.4909,84.2055,1352.91,23.1808,4.7214,1.6668,57.988,1.531,37.582,18.108
"2022-01-05",115.76111,1.727891,21.716583,6.571605,0.738104,319.948759,4.034455,4.369644,9.059546,0.915629,129.693436,8.805725,6.642813,75.737698,13.468151,1.378214,5.667108,1.272109,6.368672,7.794593,14367.89469,3.091174,74.353741,1196.757664,20.445446,4.19348,1.466296,50.98772,1.355243,33.224666,15.846718,0.88347,1.1319,131.03,1.9558,24.581,7.4384,0.83546,362.15,4.5666,4.946,10.2545,1.0364,146.8,9.9672,7.519,85.7275,15.2446,1.56,6.4146,1.4399,7.2087,8.8227,16263.02,3.4989,84.161,1354.61,23.1422,4.7466,1.6597,57.713,1.534,37.607,17.9369
"2022-01-06",115.819708,1.728502,21.677419,6.574724,0.73878,318.020327,4.031286,4.368979,9.126381,0.918692,129.739284,8.868758,6.64578,76.454971,13.743173,1.394432,5.693327,1.277154,6.379761,7.801326,14398.479894,3.115068,74.456474,1203.764914,20.552276,4.212992,1.480513,51.209015,1.359965,33.550155,15.72532,0.883783,1.1315,131.05,1.9558,24.528,7.4393,0.83593,359.84,4.5614,4.9435,10.3265,1.0395,146.8,10.035,7.5197,86.5088,15.5504,1.5778,6.442,1.4451,7.2187,8.8272,16291.88,3.5247,84.2475,1362.06,23.2549,4.767,1.6752,57.943,1.5388,37.962,17.7932
"2022-01-07",115.861214,1.731103,21.631262,6.583466,0.738449,317.472119,4.026907,4.376969,9.102408,0.922464,129.226412,8.876615,6.657284,75.498318,13.914498,1.398832,5.695079,1.272261,6.37812,7.800761,14328.58028,3.109842,74.32997,1203.717472,20.455744,4.208975,1.482386,51.377235,1.359179,33.69977,15.640025,0.885112,1.1298,130.9,1.9558,24.439,7.438,0.8343,358.68,4.5496,4.9451,10.2839,1.0422,146,10.0288,7.5214,85.298,15.7206,1.5804,6.4343,1.4374,7.206,8.8133,16188.43,3.5135,83.978,1359.96,23.1109,4.7553,1.6748,58.046,1.5356,38.074,17.6701
"2022-01-08",115.861214,1.731103,21.631262,6.583466,0.738449,317.472119,4.026907,4.376969,9.102408,0.922464,129.226412,8.876615,6.657284,75.498318,13.914498,1.398832,5.695079,1.272261,6.37812,7.800761,14328.58028,3.109842,74.32997,1203.717472,20.455744,4.208975,1.482386,51.377235,1.359179,33.69977,15.640025,0.885112,1.1298,130.9,1.9558,24.439,7.438,0.8343,358.68,4.5496,4.9451,10.2839,1.0422,146,10.0288,7.5214,85.298,15.7206,1.5804,6.4343,1.4374,7.206,8.8133,16188.43,3.5135,83.978,1359.96,23.1109,4.7553,1.6748,58.046,1.5356,38.074,17.6701
"2022-01-09",115.861214,1.731103,21.631262,6.583466,0.738449,317.472119,4.026907,4.376969,9.102408,0.922464,129.226412,8.876615,6.657284,75.498318,13.914498,1.398832,5.695079,1.272261,6.37812,7.800761,14328.58028,3.109842,74.32997,1203.717472,20.455744,4.208975,1.482386,51.377235,1.359179,33.69977,15.640025,0.885112,1.1298,130.9,1.9558,24.439,7.438,0.8343,358.68,4.5496,4.9451,10.2839,1.0422,146,10.0288,7.5214,85.298,15.7206,1.5804,6.4343,1.4374,7.206,8.8133,16188.43,3.5135,83.978,1359.96,23.1109,4.7553,1.6748,58.046,1.5356,38.074,17.6701
"2022-01-10",115.25888,1.728044,21.520587,6.571921,0.736862,316.663722,4.005478,4.369058,9.103905,0.922955,129.174766,8.857837,6.651175,75.086146,13.887878,1.393709,5.65197,1.26586,6.372857,7.795812,14297.490723,3.119191,74.04135,1197.8088,20.374359,4.200035,1.480209,51.370383,1.355717,33.640219,15.638717,0.883548,1.1318,130.45,1.9558,24.357,7.4381,0.83398,358.4,4.5334,4.9449,10.3038,1.0446,146.2,10.0253,7.5278,84.9825,15.7183,1.5774,6.3969,1.4327,7.2128,8.8233,16181.9,3.5303,83.8,1355.68,23.0597,4.7536,1.6753,58.141,1.5344,38.074,17.6999
