"date","USD_JPY","USD_BGN","USD_CZK","USD_DKK","USD_GBP","USD_HUF","USD_PLN","USD_RON","USD_SEK","USD_CHF","USD_ISK","USD_NOK","USD_HRK","USD_RUB","USD_TRY","USD_AUD","USD_BRL","USD_CAD","USD_CNY","USD_HKD","USD_IDR","USD_ILS","USD_INR","USD_KRW","USD_MXN","USD_MYR","USD_NZD","USD_PHP","USD_SGD","USD_THB","USD_ZAR","USD_EUR","EUR_USD","EUR_JPY","EUR_BGN","EUR_CZK","EUR_DKK","EUR_GBP","EUR_HUF","EUR_PLN","EUR_RON","EUR_SEK","EUR_CHF","EUR_ISK","EUR_NOK","EUR_HRK","EUR_RUB","EUR_TRY","EUR_AUD","EUR_BRL","EUR_CAD","EUR_CNY","EUR_HKD","EUR_IDR","EUR_ILS","EUR_INR","EUR_KRW","EUR_MXN","EUR_MYR","EUR_NZD","EUR_PHP","EUR_SGD","EUR_THB","EUR_ZAR"
"2020-01-01",108.545487,1.740965,22.617055,6.650792,0.757344,294.222895,3.789211,4.257611,9.29927,0.966174,120.883034,8.78031,6.622307,62.271942,5.950062,1.423803,4.019672,1.299448,6.961456,7.786452,13882.499555,3.457807,71.37885,1153.889977,18.889265,4.090529,1.482375,50.649813,1.345113,29.744526,14.044241,0.890155,1.1234,121.94,1.9558,25.408,7.4715,0.8508,330.53,4.2568,4.783,10.4468,1.0854,135.8,9.8638,7.4395,69.9563,6.6843,1.5995,4.5157,1.4598,7.8205,8.7473,15595.6,3.8845,80.187,1296.28,21.2202,4.5953,1.6653,56.9,1.5111,33.415,15.7773
"2020-01-02",108.77334,1.747342,22.702582,6.675511,0.757867,294.809256,3.800947,4.273028,9.356562,0.970696,122.308586,8.791924,6.651032,61.814795,5.958992,1.430001,4.008755,1.29983,6.963817,7.790851,13884.499241,3.456625,71.389708,1159.867775,18.885285,4.088627,1.493612,50.768337,1.347628,30.144733,14.070937,0.893416,1.1193,121.75,1.9558,25.411,7.4719,0.84828,329.98,4.2544,4.7828,10.4728,1.0865,136.9,9.8408,7.4445,69.1893,6.6699,1.6006,4.487,1.4549,7.7946,8.7203,15540.92,3.869,79.9065,1298.24,21.1383,4.5764,1.6718,56.825,1.5084,33.741,15.7496
"2020-01-03",108.136718,1.754553,22.750516,6.704136,0.763569,296.519243,3.812057,4.286714,9.406836,0.972459,122.813313,8.819862,6.680093,62.006818,5.973535,1.438145,4.061272,1.298197,6.971562,7.779044,13938.001256,3.477707,71.775814,1166.52014,18.967704,4.102001,1.499776,51.119584,1.34987,30.155199,14.283843,0.897102,1.1147,120.54,1.9558,25.36,7.4731,0.85115,330.53,4.2493,4.7784,10.4858,1.084,136.9,9.8315,7.4463,69.119,6.6587,1.6031,4.5271,1.4471,7.7712,8.6713,15536.69,3.8766,80.0085,1300.32,21.1433,4.5725,1.6718,56.983,1.5047,33.614,15.9222
"2020-01-04",108.136718,1.754553,22.750516,6.704136,0.763569,296.519243,3.812057,4.286714,9.406836,0.972459,122.813313,8.819862,6.680093,62.006818,5.973535,1.438145,4.061272,1.298197,6.971562,7.779044,13938.001256,3.477707,71.775814,1166.52014,18.967704,4.102001,1.499776,51.119584,1.34987,30.155199,14.283843,0.897102,1.1147,120.54,1.9558,25.36,7.4731,0.85115,330.53,4.2493,4.7784,10.4858,1.084,136.9,9.8315,7.4463,69.119,6.6587,1.6031,4.5271,1.4471,7.7712,8.6713,15536.69,3.8766,80.0085,1300.32,21.1433,4.5725,1.6718,56.983,1.5047,33.614,15.9222
"2020-01-05",108.136718,1.754553,22.750516,6.704136,0.763569,296.519243,3.812057,4.286714,9.406836,0.972459,122.813313,8.819862,6.680093,62.006818,5.973535,1.438145,4.061272,1.298197,6.971562,7.779044,13938.001256,3.477707,71.775814,1166.52014,18.967704,4.102001,1.499776,51.119584,1.34987,30.155199,14.283843,0.897102,1.1147,120.54,1.9558,25.36,7.4731,0.85115,330.53,4.2493,4.7784,10.4858,1.084,136.9,9.8315,7.4463,69.119,6.6587,1.6031,4.5271,1.4471,7.7712,8.6713,15536.69,3.8766,80.0085,1300.32,21.1433,4.5725,1.6718,56.983,1.5047,33.614,15.9222
"2020-01-06",108.111488,1.747186,22.602287,6.676076,0.761256,294.497052,3.789083,4.265053,9.40754,0.969269,122.654994,8.798285,6.650884,62.001697,5.976416,1.439968,4.061193,1.29757,6.972396,7.770055,13940.003573,3.476237,71.929158,1169.224585,18.886725,4.103984,1.499732,51.14079,1.34983,30.14472,14.245578,0.893336,1.1194,121.02,1.9558,25.301,7.4732,0.85215,329.66,4.2415,4.7743,10.5308,1.085,137.3,9.8488,7.445,69.4047,6.69,1.6119,4.5461,1.4525,7.8049,8.6978,15604.44,3.8913,80.5175,1308.83,21.1418,4.594,1.6788,57.247,1.511,33.744,15.9465
"2020-01-07",108.440745,1.750627,22.624418,6.689134,0.762469,296.527032,3.800304,4.276584,9.436359,0.971178,122.896527,8.820981,6.666488,61.992123,5.975653,1.454619,4.08387,1.299678,6.942535,7.772646,13875,3.466792,71.844791,1165.843179,18.873255,4.093,1.506713,50.870032,1.349893,30.274794,14.296813,0.895095,1.1172,121.15,1.9558,25.276,7.4731,0.85183,331.28,4.2457,4.7778,10.5423,1.085,137.3,9.8548,7.4478,69.2576,6.676,1.6251,4.5625,1.452,7.7562,8.6836,15501.15,3.8731,80.265,1302.48,21.0852,4.5727,1.6833,56.832,1.5081,33.823,15.9724
"2020-01-08",108.735942,1.759604,22.730544,6.723437,0.763545,297.867746,3.817274,4.298156,9.45641,0.97094,123.346829,8.862618,6.701754,61.753396,5.952137,1.45704,4.05686,1.301844,6.94413,7.775439,13892.496626,3.467476,71.713,1167.224471,18.810526,4.101484,1.505983,50.760234,1.350787,30.355376,14.22996,0.899685,1.1115,120.86,1.9558,25.265,7.4731,0.84868,331.08,4.2429,4.7774,10.5108,1.0792,137.1,9.8508,7.449,68.6389,6.6158,1.6195,4.5092,1.447,7.7184,8.6424,15441.51,3.8541,79.709,1297.37,20.9079,4.5588,1.6739,56.42,1.5014,33.74,15.8166
"2020-01-09",109.39694,1.760396,22.729973,6.726463,0.767642,299.288929,3.818362,4.30108,9.480648,0.972817,123.942394,8.880738,6.70207,61.274257,5.880378,1.457516,4.067867,1.305581,6.931683,7.769307,13850,3.470387,71.252925,1159.567957,18.779208,4.090459,1.511791,50.630063,1.351755,30.285329,14.206931,0.90009,1.111,121.54,1.9558,25.253,7.4731,0.85285,332.51,4.2422,4.7785,10.533,1.0808,137.7,9.8665,7.446,68.0757,6.5331,1.6193,4.5194,1.4505,7.7011,8.6317,15387.35,3.8556,79.162,1288.28,20.8637,4.5445,1.6796,56.25,1.5018,33.647,15.7839
"2020-01-10",109.638446,1.763412,22.779731,6.737986,0.764674,301.009828,3.82851,4.30944,9.513119,0.975746,123.162925,8.903165,6.712199,61.34794,5.87846,1.454513,4.074294,1.307186,6.922099,7.766387,13762.501127,3.469119,70.950771,1159.498693,18.811108,4.076458,1.511947,50.489586,1.349653,30.235326,14.253088,0.901632,1.1091,121.6,1.9558,25.265,7.4731,0.8481,333.85,4.2462,4.7796,10.551,1.0822,136.6,9.8745,7.4445,68.041,6.5198,1.6132,4.5188,1.4498,7.6773,8.6137,15263.99,3.8476,78.6915,1286,20.8634,4.5212,1.6769,55.998,1.4969,33.534,15.8081
"2020-01-11",109.638446,1.763412,22.779731,6.737986,0.764674,301.009828,3.82851,4.30944,9.513119,0.975746,123.162925,8.903165,6.712199,61.34794,5.87846,1.454513,4.074294,1.307186,6.922099,7.766387,13762.501127,3.469119,70.950771,1159.498693,18.811108,4.076458,1.511947,50.489586,1.349653,30.235326,14.253088,0.901632,1.1091,121.6,1.9558,25.265,7.4731,0.8481,333.85,4.2462,4.7796,10.551,1.0822,136.6,9.8745,7.4445,68.041,6.5198,1.6132,4.5188,1.4498,7.6773,8.6137,15263.99,3.8476,78.6915,1286,20.8634,4.5212,1.6769,55.998,1.4969,33.534,15.8081
"2020-01-12",109.638446,1.763412,22.779731,6.737986,0.764674,301.009828,3.82851,4.30944,9.513119,0.975746,123.162925,8.903165,6.712199,61.34794,5.87846,1.454513,4.074294,1.307186,6.922099,7.766387,13762.501127,3.469119,70.950771,1159.498693,18.811108,4.076458,1.511947,50.489586,1.349653,30.235326,14.253088,0.901632,1.1091,121.6,1.9558,25.265,7.4731,0.8481,333.85,4.2462,4.7796,10.551,1.0822,136.6,9.8745,7.4445,68.041,6.5198,1.6132,4.5188,1.4498,7.6773,8.6137,15263.99,3.8476,78.6915,1286,20.8634,4.5212,1.6769,55.998,1.4969,33.534,15.8081
